asset,date,action,price,units,signed_value
LII,2025-03-03,BUY_NEW,586.97998046875,51.95479555773226,-30496.42488173558
LII,2025-03-06,BUY_ADD,583.9000244140625,0.2774972713488766,-162.03066351544476
ADI,2025-03-10,BUY_NEW,216.25999450683594,133.09519079610266,-28783.165230451443
ADI,2025-03-12,BUY_ADD,206.6199951171875,5.808093969875456,-1200.068347695833
LII,2025-03-12,BUY_ADD,569.6400146484375,1.1985462988567301,-682.7399312375783
ADI,2025-03-13,SELL_SL,203.8000030517578,138.9032847659781,28308.48985920552
LII,2025-03-13,SELL_SL,558.510009765625,53.43083912793787,29841.65848313012
LII,2025-03-18,BUY_NEW,581.3699951171875,52.28800896038402,-30398.679513985913
LII,2025-03-20,BUY_ADD,578.77001953125,0.2395948006198859,-138.6702874343573
MCHP,2025-03-20,BUY_NEW,51.0,713.8852467781688,-36408.14758568661
LII,2025-03-21,BUY_ADD,569.5499877929688,0.8514071500835825,-484.9189319369507
MOH,2025-03-21,BUY_NEW,309.92999267578125,106.63610955352128,-33049.72865289666
XRP-USD,2025-03-26,BUY_NEW,2.349087953567505,7852.355366080773,-18445.8733975915
MOH,2025-03-26,SELL_TP,323.44000244140625,106.63610955352128,34490.383534332985
XRP-USD,2025-03-28,SELL_SL,2.204137086868286,7852.355366080773,17307.66768164783
ADI,2025-03-28,BUY_NEW,201.55999755859375,141.7777627467648,-28576.7255131008
LII,2025-03-28,SELL_SL,553.0499877929688,53.379010911087484,29521.261332777678
MCHP,2025-03-28,SELL_SL,48.70000076293945,713.8852467781688,34766.21206274804
