asset,weight,strategy,return,type
CZR,0.195536089,Scalping,4.840156845,Stock
INTC,0.15948681,Mean_Reversion,29.3331925,Stock
MHK,0.115817684,Mean_Reversion,14.36344412,Stock
BLDR,0.107737845,RSI_Divergence,25.42481366,Stock
URI,0.088408232,Michael_Harris_Price_Action,15.06232406,Stock
ON,0.070598588,RSI_Divergence,36.76820593,Stock
NCLH,0.031879362,Larry_Williams_Price_Action,64.09265253,Stock
ALB,0.028309434,RSI_Divergence,41.21424255,Stock
VST,0.005339893,Larry_Williams_Price_Action,113.4794697,Stock
AVAX-USD,0.118917622,MACD_Bollinger_Bands_Mean_Reversion,46.91484482,Crypto
SOL-USD,0.060658787,Volume_Spike_Reversal,44.44780443,Crypto
LINK-USD,0.017309654,Michael_Harris_Price_Action,128.9269277,Crypto
